"시점",전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
"1997.07",36.206,81.328,57.074,74.612,79.458,34.642,54.995,56.463,-,13.839,74.029,20.754,15.097,55.853,53.763,38.645,49.991,36.905
"1997.08",35.382,76.467,53.704,72.309,82.252,29.607,53.887,59.509,-,13.148,70.369,20.284,14.938,57.397,53.066,38.466,47.999,37.484
"1997.09",36.176,79.043,54.191,72.942,83.961,29.067,52.670,60.211,-,13.843,70.877,20.266,15.412,57.189,55.015,41.506,48.007,41.836
"1997.10",38.745,84.774,58.575,79.928,92.276,29.573,56.570,65.949,-,13.793,81.142,23.406,18.269,61.308,60.354,43.155,52.773,44.728
"1997.11",37.254,81.453,54.653,75.542,86.778,27.975,55.142,63.798,-,13.850,78.868,21.457,16.949,57.192,57.783,43.603,50.997,47.067
"1997.12",36.685,78.517,52.714,71.833,81.028,28.229,49.781,63.490,-,14.163,83.685,20.625,16.140,52.586,57.172,44.713,48.338,73.544
"1998.01",31.412,69.623,42.392,60.069,61.504,25.824,41.827,56.565,-,12.907,50.382,16.312,12.776,42.723,54.600,36.619,39.153,49.699
"1998.02",32.509,66.286,45.622,64.558,59.810,25.793,44.348,52.407,-,13.789,54.415,17.254,13.102,43.533,51.025,35.153,45.393,47.543
"1998.03",33.999,69.567,52.397,70.715,63.182,27.276,46.510,54.568,-,14.021,64.257,18.212,13.867,45.448,57.529,37.591,46.891,44.548
"1998.04",33.902,66.695,52.017,66.466,62.188,28.051,47.023,55.319,-,13.837,70.115,19.279,13.526,45.550,54.359,38.416,47.301,37.863
"1998.05",33.120,63.388,49.434,64.491,59.686,28.339,43.840,52.114,-,13.246,68.602,19.233,13.269,47.644,54.158,37.200,48.613,46.034
"1998.06",31.902,62.308,47.968,63.282,58.443,26.266,46.038,52.131,-,12.164,64.393,19.358,13.684,43.785,50.888,37.205,45.495,40.003
"1998.07",31.324,61.988,45.611,57.191,53.891,23.478,44.547,51.139,-,13.053,57.051,18.597,12.977,44.205,49.949,35.005,42.760,43.476
"1998.08",30.976,60.446,43.395,51.717,58.063,23.377,45.145,46.805,-,13.285,54.609,19.384,12.246,41.435,50.699,33.100,44.609,46.332
"1998.09",35.765,66.306,49.844,65.086,70.357,27.450,47.737,54.096,-,15.509,68.550,23.515,14.897,49.002,51.575,36.866,48.613,47.397
"1998.10",35.396,67.512,46.348,63.515,66.480,27.073,46.334,57.869,-,15.392,64.655,23.475,14.251,46.308,54.012,37.411,46.786,40.722
"1998.11",37.791,75.225,49.804,66.401,68.969,28.003,48.346,60.965,-,17.167,67.492,24.602,14.981,49.715,55.323,40.161,47.499,56.395
"1998.12",39.097,77.014,46.314,66.808,69.347,26.490,50.281,61.420,-,18.575,65.844,24.875,15.494,50.747,58.054,42.000,48.491,79.276
"1999.01",36.719,80.284,42.244,63.810,64.580,26.594,48.537,59.346,-,17.788,52.837,15.964,14.981,45.834,55.949,43.389,49.323,64.064
"1999.02",34.264,74.491,39.714,60.285,62.990,23.490,43.606,54.569,-,16.522,47.169,17.917,13.471,43.416,54.128,40.056,43.646,46.066
"1999.03",41.048,83.994,49.273,74.323,75.952,33.252,55.176,63.373,-,19.146,61.173,25.571,17.159,51.860,59.135,50.671,55.289,48.833
"1999.04",40.270,85.165,49.827,73.446,76.695,31.706,54.343,57.371,-,18.992,66.585,22.807,17.237,52.322,57.767,50.496,52.238,48.740
"1999.05",41.044,83.246,49.637,73.121,76.102,34.021,55.325,54.527,-,19.943,76.647,25.670,17.403,53.950,54.473,49.597,54.324,44.667
"1999.06",42.242,88.876,52.848,72.465,75.515,36.828,58.325,58.612,-,21.219,74.844,24.413,17.919,54.752,54.618,48.497,52.995,45.285
"1999.07",42.444,87.005,49.821,72.137,77.601,35.842,47.970,63.153,-,20.269,68.438,25.662,18.901,55.674,59.775,50.080,52.650,44.799
"1999.08",40.893,87.437,50.610,67.913,77.818,34.233,48.698,56.749,-,19.815,63.327,24.921,18.818,56.291,54.774,50.530,49.200,46.176
"1999.09",43.098,88.111,52.161,68.885,82.950,36.293,48.447,60.789,-,21.196,62.776,33.507,18.417,56.958,59.672,50.090,49.954,47.686
"1999.10",47.310,100.486,54.133,74.613,88.026,40.689,52.677,66.917,-,23.931,74.660,36.804,19.262,63.500,59.853,54.462,53.945,53.538
"1999.11",48.865,106.862,55.236,77.247,91.135,39.021,53.235,69.424,-,25.328,72.238,38.178,19.801,61.080,59.456,56.862,56.707,68.371
"1999.12",48.774,111.370,56.928,77.998,91.595,42.458,53.296,71.204,-,24.841,74.065,36.268,19.251,61.078,60.254,55.869,56.826,80.816
"2000.01",47.748,98.197,52.679,77.842,86.094,35.763,57.136,70.283,-,25.007,56.574,29.809,17.894,56.913,63.430,53.763,54.002,73.289
"2000.02",44.232,95.471,49.021,69.888,81.042,32.707,52.765,61.591,-,23.596,51.904,26.345,16.967,52.700,56.511,50.399,50.586,59.347
"2000.03",50.449,104.003,55.437,80.117,92.033,41.212,61.663,68.248,-,27.045,69.468,32.594,20.487,59.725,63.184,57.737,57.936,65.184
"2000.04",47.660,98.159,52.686,74.018,87.635,36.528,58.790,58.574,-,25.863,69.069,32.504,19.358,57.954,57.763,54.714,57.403,52.352
"2000.05",50.253,99.745,57.105,77.786,92.532,42.533,60.741,64.407,-,27.229,77.047,34.505,20.427,59.722,58.843,57.603,58.003,51.325
"2000.06",49.396,97.018,58.039,75.803,90.098,39.804,60.794,63.221,-,26.981,75.966,34.597,20.451,57.432,56.635,54.384,56.824,55.109
"2000.07",49.944,95.478,56.880,73.318,85.588,41.829,60.454,63.610,-,27.251,67.109,33.897,20.929,59.470,60.173,57.033,56.059,59.676
"2000.08",50.080,98.633,57.203,71.638,85.764,39.351,55.505,63.909,-,28.032,66.536,35.550,20.414,58.222,59.219,57.438,53.584,62.472
