변환,원자료
"1997/07/07","11.230"
"1997/07/08","11.160"
"1997/07/09","10.950"
"1997/07/10","10.950"
"1997/07/11","11.070"
"1997/07/12","11.070"
"1997/07/14","11.200"
"1997/07/15","11.370"
"1997/07/16","11.500"
"1997/07/18","11.430"
"1997/07/19","11.430"
"1997/07/21","11.410"
"1997/07/22","11.380"
"1997/07/23","11.590"
"1997/07/24","11.600"
"1997/07/25","11.630"
"1997/07/26","11.830"
"1997/07/28","11.940"
"1997/07/29","11.860"
"1997/07/30","11.900"
"1997/07/31","11.910"
"1997/08/01","11.740"
"1997/08/02","11.610"
"1997/08/04","11.750"
"1997/08/05","11.840"
"1997/08/06","11.750"
"1997/08/07","11.800"
"1997/08/08","11.780"
"1997/08/09","11.860"
"1997/08/11","12.040"
"1997/08/12","12.220"
"1997/08/13","12.330"
"1997/08/14","12.390"
"1997/08/16","12.660"
"1997/08/18","13.010"
"1997/08/19","12.810"
"1997/08/20","12.750"
"1997/08/21","12.580"
"1997/08/22","12.360"
"1997/08/23","12.490"
"1997/08/25","12.730"
"1997/08/26","13.060"
"1997/08/27","13.060"
"1997/08/28","13.120"
"1997/08/29","12.960"
"1997/08/30","12.980"
"1997/09/01","13.100"
"1997/09/02","13.090"
"1997/09/03","13.070"
"1997/09/04","12.800"
"1997/09/05","12.360"
"1997/09/06","12.290"
"1997/09/08","12.650"
"1997/09/09","12.800"
"1997/09/10","12.970"
"1997/09/11","13.120"
"1997/09/12","12.980"
"1997/09/13","12.790"
"1997/09/18","12.940"
"1997/09/19","12.850"
"1997/09/20","12.860"
"1997/09/22","13.090"
"1997/09/23","13.270"
"1997/09/24","13.680"
"1997/09/25","13.780"
"1997/09/26","13.860"
"1997/09/27","14.080"
"1997/09/29","14.130"
"1997/09/30","14.250"
"1997/10/01","14.110"
"1997/10/02","13.970"
"1997/10/04","13.970"
"1997/10/06","14.040"
"1997/10/07","13.980"
"1997/10/08","14.180"
"1997/10/09","14.150"
"1997/10/10","13.980"
"1997/10/11","14.020"
"1997/10/13","14.090"
"1997/10/14","13.990"
"1997/10/15","13.800"
"1997/10/16","13.740"
"1997/10/17","13.280"
"1997/10/18","13.050"
"1997/10/20","12.910"
"1997/10/21","12.750"
"1997/10/22","12.890"
"1997/10/23","13.120"
"1997/10/24","13.120"
"1997/10/25","13.300"
"1997/10/27","13.440"
"1997/10/28","13.370"
"1997/10/29","13.160"
"1997/10/30","13.170"
"1997/10/31","13.090"
"1997/11/01","13.030"
"1997/11/03","13.160"
"1997/11/04","13.170"
"1997/11/05","13.260"
"1997/11/06","13.250"
"1997/11/07","13.310"
"1997/11/08","13.480"
"1997/11/10","13.720"
"1997/11/11","13.880"
"1997/11/12","14.060"
"1997/11/13","14.300"
"1997/11/14","14.350"
"1997/11/15","14.370"
"1997/11/17","14.410"
"1997/11/18","14.610"
"1997/11/19","14.680"
"1997/11/20","14.580"
"1997/11/21","14.120"
"1997/11/22","14.010"
"1997/11/24","14.740"
"1997/11/25","14.930"
"1997/11/26","15.190"
"1997/11/27","15.110"
"1997/11/28","13.800"
"1997/11/29","12.400"
"1997/12/01","12.110"
"1997/12/02","11.850"
"1997/12/03","14.600"
"1997/12/04","20.450"
"1997/12/05","22.240"
"1997/12/06","21.600"
"1997/12/08","21.150"
"1997/12/09","19.490"
"1997/12/10","19.960"
"1997/12/11","21.010"
"1997/12/12","20.750"
"1997/12/13","21.160"
"1997/12/15","21.280"
"1997/12/16","20.680"
"1997/12/17","20.550"
"1997/12/19","21.140"
