시점,KORP
Jul-97,
Aug-97,11.03
Sep-97,11.46
Oct-97,11.76
Nov-97,11.96
Dec-97,13.23
Jan-98,17.6
Feb-98,17.39
Mar-98,18.23
Apr-98,17.42
May-98,16.23
Jun-98,14.89
Jul-98,12.64
Aug-98,10.42
Sep-98,9.56
Oct-98,8.38
Nov-98,7.39
Dec-98,7.57
Jan-99,7.31
Feb-99,7.16
Mar-99,6.93
Apr-99,6.05
May-99,5.91
Jun-99,5.71
Jul-99,5.85
Aug-99,6.34
Sep-99,6.41
Oct-99,8.3
Nov-99,6.85
Dec-99,6.87
Jan-00,6.95
Feb-00,6.63
Mar-00,6.98
Apr-00,6.9
May-00,6.94
Jun-00,7.02
Jul-00,6.79
Aug-00,6.84
Sep-00,6.72
Oct-00,6.9
Nov-00,6.73
Dec-00,6.8
Jan-01,6.62
Feb-01,6.03
Mar-01,5.98
Apr-01,5.85
May-01,5.84
Jun-01,5.81
Jul-01,5.72
Aug-01,5.2
Sep-01,4.89
Oct-01,4.62
Nov-01,4.51
Dec-01,4.55
Jan-02,4.62
Feb-02,4.55
Mar-02,4.45
Apr-02,4.53
May-02,4.44
Jun-02,4.36
Jul-02,4.51
Aug-02,4.49
Sep-02,4.52
Oct-02,4.44
Nov-02,4.3
Dec-02,4.33
Jan-03,4.49
Feb-03,4.24
Mar-03,4.12
Apr-03,4.2
May-03,3.92
Jun-03,3.69
Jul-03,3.82
Aug-03,3.67
Sep-03,3.54
Oct-03,3.5
Nov-03,3.6
Dec-03,3.75
Jan-04,3.81
Feb-04,3.61
Mar-04,3.52
Apr-04,3.57
May-04,3.49
Jun-04,3.49
Jul-04,3.51
Aug-04,3.39
Sep-04,3.34
Oct-04,3.22
Nov-04,3.22
Dec-04,3.15
Jan-05,3.21
Feb-05,3.23
Mar-05,3.31
Apr-05,3.24
May-05,3.21
Jun-05,3.22
Jul-05,3.21
Aug-05,3.24
Sep-05,3.33
Oct-05,3.5
Nov-05,3.62
Dec-05,3.71
Jan-06,3.85
