시점,PPI
1997.07 월,69.44
1997.08 월,69.58
1997.09 월,69.79
1997.10 월,69.65
1997.11 월,70.02
1997.12 월,74.58
1998.01 월,77.75
1998.02 월,79.72
1998.03 월,79.55
1998.04 월,79.62
1998.05 월,78.76
1998.06 월,78.68
1998.07 월,78.29
1998.08 월,77.73
1998.09 월,77.79
1998.10 월,77.82
1998.11 월,77.69
1998.12 월,77.26
1999.01 월,76.42
1999.02 월,76.25
1999.03 월,76.11
1999.04 월,76.32
1999.05 월,76.64
1999.06 월,76.15
1999.07 월,76.03
1999.08 월,76.52
1999.09 월,76.89
1999.10 월,77.69
1999.11 월,78.15
1999.12 월,77.96
2000.01 월,78.77
2000.02 월,78.57
2000.03 월,78.52
2000.04 월,78.14
2000.05 월,77.95
2000.06 월,78.14
2000.07 월,78.22
2000.08 월,78.22
2000.09 월,78.48
2000.10 월,78.4
2000.11 월,78.36
2000.12 월,78.46
2001.01 월,78.68
2001.02 월,78.52
2001.03 월,78.7
2001.04 월,78.65
2001.05 월,78.58
2001.06 월,78.26
2001.07 월,78.21
2001.08 월,77.83
2001.09 월,77.62
2001.10 월,77.25
2001.11 월,76.94
2001.12 월,76.47
2002.01 월,76.65
2002.02 월,77.04
2002.03 월,77.44
2002.04 월,78.04
2002.05 월,78.37
2002.06 월,77.87
2002.07 월,77.65
2002.08 월,77.75
2002.09 월,77.91
2002.10 월,78.01
2002.11 월,78.17
2002.12 월,78.18
2003.01 월,78.77
2003.02 월,79.19
2003.03 월,79.96
2003.04 월,79.56
2003.05 월,79.12
2003.06 월,78.74
2003.07 월,78.88
2003.08 월,79.17
2003.09 월,79.5
2003.10 월,79.73
2003.11 월,80.1
2003.12 월,80.62
2004.01 월,81.72
2004.02 월,82.74
2004.03 월,83.54
2004.04 월,83.94
2004.05 월,84.14
2004.06 월,84.06
2004.07 월,84.4
2004.08 월,85.14
2004.09 월,85.49
2004.10 월,85.53
2004.11 월,85.59
2004.12 월,84.96
2005.01 월,85.78
2005.02 월,85.95
2005.03 월,86.03
2005.04 월,86.27
2005.05 월,85.71
2005.06 월,85.32
2005.07 월,85.84
2005.08 월,86.08
2005.09 월,86.46
2005.10 월,86.69
2005.11 월,86.44
2005.12 월,86.19
2006.01 월,86.49
2006.02 월,86.53
2006.03 월,86.42
2006.04 월,86.58
2006.05 월,86.88
2006.06 월,86.72
2006.07 월,86.99
2006.08 월,87.55
2006.09 월,87.84
2006.10 월,87.03
2006.11 월,86.61
2006.12 월,86.53
2007.01 월,86.54
2007.02 월,86.59
2007.03 월,86.96
2007.04 월,87.57
2007.05 월,88.06
2007.06 월,88.24
2007.07 월,88.35
2007.08 월,88.3
2007.09 월,88.72
2007.10 월,88.9
2007.11 월,89.27
2007.12 월,89.63
2008.01 월,90.13
2008.02 월,90.97
2008.03 월,92.15
2008.04 월,94.11
2008.05 월,96.0
2008.06 월,97.54
2008.07 월,99.44
2008.08 월,99.16
2008.09 월,98.75
2008.10 월,98.49
2008.11 월,96.2
2008.12 월,94.58
2009.01 월,94.31
2009.02 월,94.95
2009.03 월,95.4
2009.04 월,95.51
2009.05 월,94.78
2009.06 월,94.53
2009.07 월,95.61
2009.08 월,96.16
2009.09 월,96.25
2009.10 월,95.48
2009.11 월,95.81
2009.12 월,96.29
2010.01 월,96.71
2010.02 월,96.88
2010.03 월,97.33
2010.04 월,98.04
2010.05 월,98.87
2010.06 월,98.98
2010.07 월,99.23
2010.08 월,99.53
2010.09 월,100.1
2010.10 월,100.47
2010.11 월,100.82
2010.12 월,101.75
2011.01 월,103.32
2011.02 월,104.09
2011.03 월,105.34
2011.04 월,105.99
2011.05 월,106.31
2011.06 월,106.07
2011.07 월,106.21
2011.08 월,106.35
2011.09 월,106.43
2011.10 월,106.33
2011.11 월,105.99
2011.12 월,106.09
2012.01 월,106.64
2012.02 월,107.37
2012.03 월,107.9
2012.04 월,107.95
2012.05 월,107.35
2012.06 월,106.05
2012.07 월,105.58
2012.08 월,106.23
2012.09 월,106.61
2012.10 월,105.78
2012.11 월,105.05
2012.12 월,104.79
2013.01 월,104.96
2013.02 월,105.68
2013.03 월,105.26
2013.04 월,104.93
2013.05 월,104.57
2013.06 월,104.55
2013.07 월,104.53
2013.08 월,104.82
2013.09 월,104.71
2013.10 월,104.34
2013.11 월,104.13
2013.12 월,104.37
2014.01 월,104.65
2014.02 월,104.78
2014.03 월,104.74
2014.04 월,104.58
2014.05 월,104.56
2014.06 월,104.61
2014.07 월,104.69
2014.08 월,104.58
2014.09 월,104.2
2014.10 월,103.47
2014.11 월,103.15
2014.12 월,102.14
2015.01 월,100.89
2015.02 월,100.96
2015.03 월,100.84
2015.04 월,100.8
2015.05 월,100.87
2015.06 월,100.82
2015.07 월,100.45
2015.08 월,99.83
2015.09 월,99.39
2015.10 월,98.71
2015.11 월,98.32
2015.12 월,98.09
2016.01 월,97.56
2016.02 월,97.56
2016.03 월,97.5
2016.04 월,97.74
2016.05 월,97.86
2016.06 월,98.09
2016.07 월,97.98
2016.08 월,98.07
2016.09 월,98.3
2016.10 월,98.59
2016.11 월,99.03
2016.12 월,99.9
2017.01 월,101.35
2017.02 월,101.74
2017.03 월,101.7
2017.04 월,101.48
2017.05 월,101.21
2017.06 월,100.81
2017.07 월,100.89
2017.08 월,101.35
2017.09 월,102.03
2017.10 월,102.14
2017.11 월,102.04
2017.12 월,102.09
2018.01 월,102.52
2018.02 월,102.95
2018.03 월,102.91
2018.04 월,103.04
2018.05 월,103.34
2018.06 월,103.37
2018.07 월,103.85
2018.08 월,104.32
2018.09 월,104.62
2018.10 월,104.26
2018.11 월,103.53
2018.12 월,103.03
2019.01 월,102.92
2019.02 월,103.02
2019.03 월,103.38
2019.04 월,103.68
2019.05 월,103.79
2019.06 월,103.5
2019.07 월,103.5
2019.08 월,103.74
2019.09 월,103.8
2019.10 월,103.56
2019.11 월,103.41
2019.12 월,103.7
2020.01 월,104.08
2020.02 월,103.74
2020.03 월,102.82
2020.04 월,101.93
2020.05 월,101.96
2020.06 월,102.48
2020.07 월,102.71
2020.08 월,103.22
2020.09 월,103.42
2020.10 월,103.01
2020.11 월,103.09
2020.12 월,103.9
2021.01 월,105.05
2021.02 월,105.91
2021.03 월,107.04
2021.04 월,108.06
2021.05 월,108.65
2021.06 월,109.22
2021.07 월,110.28
2021.08 월,110.86
2021.09 월,111.27
2021.10 월,112.43
2021.11 월,113.23
2021.12 월,113.21
2022.01 월,114.4
2022.02 월,114.95
2022.03 월,116.7
2022.04 월,118.59
2022.05 월,119.43
2022.06 월,120.1
2022.07 월,120.44
2022.08 월,119.98
2022.09 월,120.16
