Ω√¡°,VKOSPI
2022-11-09,0.55
2022-11-08,-3.9
2022-11-07,-0.1
2022-11-04,-1.7
2022-11-03,0.38
2022-11-02,0.09
2022-11-01,-3.9
2022-10-31,-3.2
2022-10-28,2.67
2022-10-27,-5.5
2022-10-26,-3.3
2022-10-25,-1.5
2022-10-24,2.84
2022-10-21,-0.4
2022-10-20,3.58
2022-10-19,1.53
2022-10-18,-6.3
2022-10-17,1.92
2022-10-14,-12.0
2022-10-13,10.2
2022-10-12,-4.2
2022-10-11,7.73
2022-10-07,2.4
2022-10-06,-4.0
2022-10-05,-2.5
2022-10-04,-8.0
2022-09-30,4.74
2022-09-29,-2.3
2022-09-28,12.5
2022-09-27,-1.6
2022-09-26,18.1
2022-09-23,-0.6
2022-09-22,-1.5
2022-09-21,7.88
2022-09-20,-1.8
2022-09-19,2.67
2022-09-16,4.02
2022-09-15,-1.8
2022-09-14,12.2
2022-09-13,-12.0
2022-09-08,-3.4
2022-09-07,7.36
2022-09-06,-2.0
2022-09-05,-1.0
2022-09-02,-0.6
2022-09-01,10.9
2022-08-31,-0.9
2022-08-30,-6.6
2022-08-29,15.6
2022-08-26,0.0
2022-08-25,-7.3
2022-08-24,-1.3
2022-08-23,5.73
2022-08-22,6.55
2022-08-19,-0.2
2022-08-18,1.68
2022-08-17,0.58
2022-08-16,-0.1
2022-08-12,-1.8
2022-08-11,-8.3
2022-08-10,4.12
2022-08-09,-3.7
2022-08-08,0.88
2022-08-05,-3.9
2022-08-04,-4.0
2022-08-03,-4.1
2022-08-02,5.6
2022-08-01,2.42
2022-07-29,-3.1
2022-07-28,-5.3
2022-07-27,0.05
2022-07-26,-2.9
2022-07-25,1.32
2022-07-22,-1.5
2022-07-21,-1.4
2022-07-20,-2.0
2022-07-19,1.02
2022-07-18,-7.0
2022-07-15,-5.3
2022-07-14,0.09
2022-07-13,-0.1
2022-07-12,0.0
2022-07-11,1.43
2022-07-08,-2.5
2022-07-07,-4.3
2022-07-06,8.53
2022-07-05,-5.5
2022-07-04,0.38
2022-07-01,0.33
2022-06-30,6.41
2022-06-29,5.89
2022-06-28,-5.7
2022-06-27,-6.0
2022-06-24,-7.6
2022-06-23,1.09
2022-06-22,9.57
2022-06-21,-11.0
2022-06-20,2.25
2022-06-17,8.73
2022-06-16,-2.2
2022-06-15,2.23
2022-06-14,1.89
2022-06-13,27.3
2022-06-10,7.59
2022-06-09,-0.5
2022-06-08,-5.5
2022-06-07,7.29
2022-06-03,-4.1
2022-06-02,1.97
2022-05-31,-2.7
2022-05-30,-5.6
2022-05-27,-5.5
2022-05-26,0.1
2022-05-25,-3.4
2022-05-24,6.02
2022-05-23,1.78
2022-05-20,-6.4
2022-05-19,10.9
2022-05-18,-3.4
2022-05-17,-5.9
2022-05-16,2.95
2022-05-13,-13.0
2022-05-12,7.68
2022-05-11,-4.5
2022-05-10,3.37
2022-05-09,2.49
2022-05-06,6.43
2022-05-04,-3.1
2022-05-03,-1.2
2022-05-02,8.35
2022-04-29,-7.4
2022-04-28,-6.9
2022-04-27,10.2
2022-04-26,-5.2
2022-04-25,18.5
2022-04-22,5.84
2022-04-21,-3.2
2022-04-20,-1.9
2022-04-19,-6.3
2022-04-18,6.25
2022-04-15,3.74
2022-04-14,0.65
2022-04-13,-7.8
2022-04-12,5.12
2022-04-11,2.75
2022-04-08,-3.8
2022-04-07,5.9
2022-04-06,5.53
2022-04-05,-3.5
2022-04-04,-3.4
2022-04-01,-0.4
