Ω√¡°,SPREAD
2003-01-01,-39495.51
2003-01-08,-33745.51
2003-01-15,-29995.51
2003-01-22,-36745.51
2003-01-29,-20495.51
2003-02-01,-20495.76
2003-02-05,-27745.76
2003-02-12,-20741.76
2003-02-19,-34491.76
2003-02-26,-25745.76
2003-03-01,-25745.88
2003-03-05,-23245.88
2003-03-12,-18745.88
2003-03-19,-26995.88
2003-03-26,-25495.88
2003-04-01,-25495.8
2003-04-02,-30495.8
2003-04-09,-21245.8
2003-04-16,-37995.8
2003-04-23,-24495.8
2003-04-30,-37496.8
2003-05-01,-37497.08
2003-05-07,-22247.08
2003-05-14,-30748.08
2003-05-21,-26247.08
2003-05-28,-31996.08
2003-06-01,-31996.31
2003-06-04,-18996.31
2003-06-11,-32496.31
2003-06-18,-22996.31
2003-06-25,-31996.31
2003-07-01,-31996.18
2003-07-02,-25996.18
2003-07-09,-29246.18
2003-07-16,-23996.18
2003-07-23,-31996.18
2003-07-30,-26246.18
2003-08-01,-26246.33
2003-08-06,-18246.33
2003-08-13,-18996.33
2003-08-20,-39496.33
2003-08-27,-28996.33
2003-09-01,-28996.46
2003-09-03,-33246.46
2003-09-10,-22496.46
2003-09-17,-29246.46
2003-09-24,-25996.46
2003-10-01,-36746.5
2003-10-08,-19746.5
2003-10-15,-30246.5
2003-10-22,-25496.5
2003-10-29,-27996.5
2003-11-01,-27996.4
2003-11-05,-18996.4
2003-11-12,-23996.4
2003-11-19,-21996.4
2003-11-26,-33496.4
2003-12-01,-33496.25
2003-12-03,-23496.25
2003-12-10,-29246.25
2003-12-17,-24996.25
2003-12-24,-36496.25
2003-12-31,-43746.25
2004-01-01,-43746.19
2004-01-07,-23996.19
2004-01-14,-23996.19
2004-01-21,-41996.19
2004-01-28,-22996.19
2004-02-01,-22996.39
2004-02-04,-23246.39
2004-02-11,-18746.39
2004-02-18,-23496.39
2004-02-25,-19996.39
2004-03-01,-19996.48
2004-03-03,-23746.48
2004-03-10,-18746.48
2004-03-17,-28746.48
2004-03-24,-19746.48
2004-03-31,-27496.48
2004-04-01,-27496.43
2004-04-07,-19746.43
2004-04-14,-29696.43
2004-04-21,-22746.43
2004-04-28,-37496.43
2004-05-01,-37496.51
2004-05-05,-19996.51
2004-05-12,-27246.51
2004-05-19,-21246.51
2004-05-26,-33746.51
2004-06-01,-33746.51
2004-06-02,-22496.51
2004-06-09,-30246.51
2004-06-16,-18996.51
2004-06-23,-31996.51
2004-06-30,-33496.51
2004-07-01,-33496.49
2004-07-07,-27996.49
2004-07-14,-25496.49
2004-07-21,-25496.49
2004-07-28,-21496.49
2004-08-01,-21496.61
2004-08-04,-16996.61
2004-08-11,-15996.61
2004-08-18,-16496.61
2004-08-25,-24496.61
2004-09-01,-32496.66
2004-09-08,-32996.66
2004-09-15,-35496.66
2004-09-22,-26496.66
2004-09-29,-29496.66
2004-10-01,-29496.78
2004-10-06,-20996.78
2004-10-13,-30246.78
2004-10-20,-21246.78
2004-10-27,-23746.78
2004-11-01,-23746.78
2004-11-03,-20246.78
2004-11-10,-29496.78
2004-11-17,-23996.78
2004-11-24,-38996.78
2004-12-01,-33746.85
2004-12-08,-30496.85
2004-12-15,-28746.85
2004-12-22,-31996.85
2004-12-29,-32996.85
2005-01-01,-32996.79
2005-01-05,-34496.79
2005-01-12,-18246.79
2005-01-19,-22496.79
2005-01-26,-28746.79
2005-02-01,-28746.77
2005-02-02,-24246.77
2005-02-09,-14496.77
2005-02-16,-18496.77
2005-02-23,-25246.77
2005-03-01,-25246.69
2005-03-02,-24246.69
2005-03-09,-21996.69
2005-03-16,-30246.69
2005-03-23,-19246.69
2005-03-30,-31746.69
2005-04-01,-31746.76
2005-04-06,-19996.76
2005-04-13,-28246.76
2005-04-20,-23746.76
2005-04-27,-30746.76
2005-05-01,-30746.79
2005-05-04,-21496.79
2005-05-11,-25996.79
2005-05-18,-23746.79
2005-05-25,-30996.79
2005-06-01,-31496.78
2005-06-08,-30496.78
2005-06-15,-28996.78
2005-06-22,-26246.78
2005-06-29,-25996.78
2005-07-01,-25996.79
2005-07-06,-33996.79
2005-07-13,-25246.79
2005-07-20,-33746.79
2005-07-27,-30996.79
2005-08-01,-30996.76
2005-08-03,-31996.76
2005-08-10,-24496.76
2005-08-17,-28496.76
2005-08-24,-25996.76
2005-08-31,-35496.76
2005-09-01,-35496.67
2005-09-07,-31496.67
2005-09-14,-31996.67
2005-09-21,-20246.67
2005-09-28,-30246.67
2005-10-01,-30246.5
2005-10-05,-18746.5
2005-10-12,-20246.5
2005-10-19,-16246.5
2005-10-26,-21746.5
2005-11-01,-21746.38
2005-11-02,-14496.38
2005-11-09,-24496.38
2005-11-16,-19996.38
2005-11-23,-32496.38
2005-11-30,-35246.38
2005-12-01,-35246.29
2005-12-07,-31996.29
2005-12-14,-28246.29
2005-12-21,-44996.29
2005-12-28,-45246.29
2006-01-01,-45246.15
2006-01-04,-46496.15
2006-01-11,-24996.15
2006-01-18,-23246.15
2006-01-25,-24996.15
2006-02-01,-22996.16
2006-02-08,-19496.16
2006-02-15,-29746.16
2006-02-22,-28996.16
2006-03-01,-27746.1
2006-03-08,-26496.1
2006-03-15,-29746.1
2006-03-22,-25746.1
2006-03-29,-19496.1
2006-04-01,-19496.11
2006-04-05,-19246.11
2006-04-12,-18746.11
2006-04-19,-21246.11
2006-04-26,-26746.11
2006-05-01,-26746.07
2006-05-03,-25746.07
2006-05-10,-20496.07
2006-05-17,-21496.07
2006-05-24,-22496.07
2006-05-31,-30746.07
2006-06-01,-30746.0
2006-06-07,-26746.0
2006-06-14,-24246.0
2006-06-21,-22246.0
2006-06-28,-22496.0
2006-07-01,-22495.9
2006-07-05,-28245.9
2006-07-12,-20745.9
2006-07-19,-28995.9
2006-07-26,-20995.9
2006-08-01,-20995.84
2006-08-02,-27745.84
2006-08-09,-17495.84
2006-08-16,-25245.84
2006-08-23,-19745.84
2006-08-30,-30245.84
2006-09-01,-30245.75
2006-09-06,-19745.75
2006-09-13,-15995.75
2006-09-20,-14995.75
2006-09-27,-27495.75
2006-10-01,-27495.75
2006-10-04,-18245.75
2006-10-11,-28245.75
2006-10-18,-22745.75
2006-10-25,-29995.75
2006-11-01,-24995.68
2006-11-08,-31495.68
2006-11-15,-35245.68
2006-11-22,-42995.68
2006-11-29,-32995.68
2006-12-01,-32995.67
2006-12-06,-31995.67
2006-12-13,-21245.67
2006-12-20,-33495.67
2006-12-27,-35995.67
2007-01-01,-35995.59
2007-01-03,-39745.59
2007-01-10,-21495.59
2007-01-17,-19745.59
2007-01-24,-18995.59
2007-01-31,-31995.59
2007-02-01,-31995.52
2007-02-07,-19745.52
2007-02-14,-29995.52
2007-02-21,-33995.52
2007-02-28,-45245.52
2007-03-01,-45245.59
2007-03-07,-31245.59
2007-03-14,-42995.59
2007-03-21,-29745.59
2007-03-28,-35995.59
2007-04-01,-35995.53
2007-04-04,-27995.53
2007-04-11,-28745.53
2007-04-18,-23995.53
2007-04-25,-37995.53
2007-05-01,-37995.43
2007-05-02,-47995.43
2007-05-09,-28995.43
2007-05-16,-17995.43
2007-05-23,-31245.43
2007-05-30,-30995.43
2007-06-01,-30995.45
2007-06-06,-28495.45
2007-06-13,-21995.45
2007-06-20,-20995.45
2007-06-27,-19995.45
2007-07-01,-19995.4
2007-07-04,-30245.4
2007-07-11,-20495.4
2007-07-18,-27245.4
2007-07-25,-18745.4
2007-08-01,-24745.26
2007-08-08,-18745.26
2007-08-15,-23995.26
2007-08-22,-18995.26
2007-08-29,-33745.26
2007-09-01,-33745.18
2007-09-05,-34995.18
2007-09-12,-44995.18
2007-09-19,-32745.18
2007-09-26,-55995.18
2007-10-01,-55995.18
2007-10-03,-35245.18
2007-10-10,-49995.18
2007-10-17,-36245.18
2007-10-24,-45995.18
2007-10-31,-48495.18
2007-11-01,-48494.92
2007-11-07,-47994.92
2007-11-14,-49494.92
2007-11-21,-54994.92
2007-11-28,-45994.92
2007-12-01,-45994.28
2007-12-05,-46494.28
2007-12-12,-47744.28
2007-12-19,-57744.28
2007-12-26,-42494.28
2008-01-01,-42494.13
2008-01-02,-56744.13
2008-01-09,-30494.13
2008-01-16,-38994.13
2008-01-23,-21994.13
2008-01-30,-49994.13
2008-02-01,-49994.48
2008-02-06,-15494.48
2008-02-13,-27994.48
2008-02-20,-38744.48
2008-02-27,-54494.48
2008-03-01,-54494.68
2008-03-05,-52244.68
2008-03-12,-76994.68
2008-03-19,-61994.68
2008-03-26,-106744.68
2008-04-01,-106744.63
2008-04-02,-75994.63
2008-04-09,-119994.63
2008-04-16,-104244.63
2008-04-23,-109494.63
2008-04-30,-115494.63
2008-05-01,-115494.53
2008-05-07,-130494.53
2008-05-14,-99994.53
2008-05-21,-133994.53
2008-05-28,-114994.53
2008-06-01,-114994.64
2008-06-04,-119744.64
2008-06-11,-118244.64
2008-06-18,-133494.64
2008-06-25,-129744.64
2008-07-01,-129744.48
2008-07-02,-112994.48
2008-07-09,-106994.48
2008-07-16,-116744.48
2008-07-23,-103744.48
2008-07-30,-123244.48
2008-08-01,-123244.37
2008-08-06,-104744.37
2008-08-13,-118244.37
2008-08-20,-100744.37
2008-08-27,-110994.37
2008-09-01,-110994.41
2008-09-03,-108994.41
2008-09-10,-126744.41
2008-09-17,-97994.41
2008-09-24,-85994.41
2008-10-01,-82994.24
2008-10-08,-99994.24
2008-10-15,-79994.24
2008-10-22,-79994.24
2008-10-29,-79994.24
2008-11-01,-79994.26
2008-11-05,-79994.26
2008-11-12,-79994.26
2008-11-19,-79994.26
2008-11-26,-79994.26
2008-12-01,-79994.74
2008-12-03,-79994.74
2008-12-10,-79994.74
2008-12-17,-79994.74
2008-12-24,-79994.74
2008-12-31,-79994.74
2009-01-01,-79996.18
2009-01-07,-59996.18
2009-01-14,-39996.18
2009-01-21,-19996.18
2009-01-28,3.82
2009-02-01,3.56
2009-02-04,3.56
2009-02-11,3.56
2009-02-18,3.56
2009-02-25,3.56
2009-03-01,2.89
2009-03-04,2.89
2009-03-11,2.89
2009-03-18,2.89
2009-03-25,2.89
2009-04-01,2.92
2009-04-08,2.92
2009-04-15,2.92
2009-04-22,2.92
2009-04-29,2.92
2009-05-01,2.9
2009-05-06,2.9
2009-05-13,2.9
2009-05-20,2.9
2009-05-27,2.9
2009-06-01,2.81
2009-06-03,2.81
2009-06-10,2.81
2009-06-17,2.81
2009-06-24,2.81
2009-07-01,2.94
2009-07-08,2.94
2009-07-15,2.94
2009-07-22,2.94
2009-07-29,2.94
2009-08-01,3.0
2009-08-05,3.0
2009-08-12,3.0
2009-08-19,3.0
2009-08-26,3.0
2009-09-01,3.14
2009-09-02,3.14
2009-09-09,3.14
2009-09-16,3.14
2009-09-23,3.14
2009-09-30,3.14
2009-10-01,3.4
2009-10-07,3.4
2009-10-14,3.4
2009-10-21,3.4
2009-10-28,3.4
2009-11-01,3.36
2009-11-04,3.36
2009-11-11,3.36
2009-11-18,3.36
2009-11-25,3.36
2009-12-01,3.59
2009-12-02,3.59
2009-12-09,3.59
2009-12-16,3.59
2009-12-23,3.59
2009-12-30,3.59
2010-01-01,3.55
2010-01-06,3.55
2010-01-13,3.55
2010-01-20,3.55
2010-01-27,3.55
2010-02-01,3.49
2010-02-03,3.49
2010-02-10,3.49
2010-02-17,3.49
2010-02-24,3.49
2010-03-01,3.33
2010-03-03,3.33
2010-03-10,3.33
2010-03-17,3.33
2010-03-24,3.33
2010-03-31,3.33
2010-04-01,3.03
2010-04-07,3.03
2010-04-14,3.03
2010-04-21,3.03
2010-04-28,3.03
2010-05-01,2.93
2010-05-05,2.93
2010-05-12,2.93
2010-05-19,2.93
2010-05-26,2.93
2010-06-01,2.96
2010-06-02,2.96
2010-06-09,2.96
2010-06-16,2.96
2010-06-23,2.96
2010-06-30,2.96
2010-07-01,3.09
2010-07-07,3.09
2010-07-14,3.09
2010-07-21,3.09
2010-07-28,3.09
2010-08-01,3.01
2010-08-04,3.01
2010-08-11,3.01
2010-08-18,3.01
2010-08-25,3.01
2010-09-01,3.07
2010-09-08,3.07
2010-09-15,3.07
2010-09-22,3.07
2010-09-29,3.07
2010-10-01,3.05
2010-10-06,3.05
2010-10-13,3.05
2010-10-20,3.05
2010-10-27,3.05
2010-11-01,3.08
2010-11-03,3.08
2010-11-10,3.08
2010-11-17,3.08
2010-11-24,3.08
2010-12-01,3.2
2010-12-08,3.2
2010-12-15,3.2
2010-12-22,3.2
2010-12-29,3.2
2011-01-01,3.26
2011-01-05,3.26
2011-01-12,3.26
2011-01-19,3.26
2011-01-26,3.26
2011-02-01,3.47
2011-02-02,3.47
2011-02-09,3.47
