Ω√¡°,Call,InterestDiff,VKOSPI,TradeBalance,CPI,PPI,Unemployment,ManufactProduct,SPREAD,Erlog
2013-08-06,2.5,2.35,0.4,3595081.0,93.419,104.71,2.7,93.525,2.61,7.015541849387844
2013-08-07,2.48,2.29,2.47,3595081.0,93.419,104.71,2.7,93.525,2.61,7.018446560824764
2013-08-08,2.49,2.28,-2.5,3595081.0,93.419,104.71,2.7,93.525,2.61,7.014140269686151
2013-08-09,2.49,2.25,-3.8,3595081.0,93.419,104.71,2.7,93.525,2.61,7.013159793671992
2013-08-12,2.5,2.29,2.36,3595081.0,93.419,104.71,2.7,93.525,2.61,7.015685490142564
2013-08-13,2.5,2.37,-3.1,3595081.0,93.419,104.71,2.7,93.525,2.61,7.019493414320629
2013-08-14,2.5,2.37,-3.3,3595081.0,93.419,104.71,2.7,93.525,2.61,7.01920720427628
2013-08-15,2.5,2.41,3.27,3595081.0,93.419,104.71,2.7,93.525,2.61,7.0192966537150445
2013-08-16,2.5,2.48,3.27,3595081.0,93.419,104.71,2.7,93.525,2.61,7.014850289533621
2013-08-19,2.5,2.52,1.97,3595081.0,93.419,104.71,2.7,93.525,2.61,7.019189313428343
2013-08-20,2.5,2.46,7.37,3595081.0,93.419,104.71,2.7,93.525,2.61,7.021619535131184
2013-08-21,2.5,2.49,3.4,3595081.0,93.419,104.71,2.7,93.525,2.61,7.018276455493343
2013-08-22,2.5,2.48,1.3,3595081.0,93.419,104.71,2.7,93.525,2.61,7.021905055672757
2013-08-23,2.5,2.42,-8.0,3595081.0,93.419,104.71,2.7,93.525,2.61,7.015245525153088
2013-08-26,2.5,2.38,-2.6,3595081.0,93.419,104.71,2.7,93.525,2.61,7.014454897641193
2013-08-27,2.5,2.34,4.72,3595081.0,93.419,104.71,2.7,93.525,2.61,7.018204823538297
2013-08-28,2.5,2.38,2.61,3595081.0,93.419,104.71,2.7,93.525,2.61,7.015936811826665
2013-08-29,2.5,2.36,-0.2,3595081.0,93.419,104.71,2.7,93.525,2.65,7.014086323524408
2013-08-30,2.51,2.39,0.45,3595081.0,93.419,104.71,2.7,93.525,2.65,7.01159263522139
2013-09-01,2.51,2.43,2.48,3595081.0,93.419,104.71,2.7,93.525,2.65,7.001017909441827
2013-09-02,2.51,2.43,2.48,4875521.0,93.134,104.34,2.7,104.81,2.65,7.001017909441827
2013-09-03,2.51,2.43,-0.6,4875521.0,93.134,104.34,2.7,104.81,2.65,7.001017909441827
2013-09-04,2.5,2.44,1.5,4875521.0,93.134,104.34,2.7,104.81,2.65,6.997385723218928
2013-09-05,2.5,2.46,-0.6,4875521.0,93.134,104.34,2.7,104.81,2.65,7.0001521282481045
2013-09-06,2.5,2.48,-1.1,4875521.0,93.134,104.34,2.7,104.81,2.65,6.99567457702002
2013-09-09,2.5,2.45,2.76,4875521.0,93.134,104.34,2.7,104.81,2.65,6.990992877552193
2013-09-10,2.51,2.46,-3.1,4875521.0,93.134,104.34,2.7,104.81,2.65,6.989731500827217
2013-09-11,2.49,2.46,-1.5,4875521.0,93.134,104.34,2.7,104.81,2.65,6.990035481595865
2013-09-12,2.5,2.47,0.38,4875521.0,93.134,104.34,2.7,104.81,2.65,6.987277851408786
2013-09-13,2.5,2.45,0.32,4875521.0,93.134,104.34,2.7,104.81,2.65,6.990145997151043
2013-09-16,2.5,2.47,1.08,4875521.0,93.134,104.34,2.7,104.81,2.65,6.985956291776303
2013-09-17,2.5,2.47,2.76,4875521.0,93.134,104.34,2.7,104.81,2.65,6.9867050819605385
2013-09-18,2.5,2.35,-2.8,4875521.0,93.134,104.34,2.7,104.81,2.65,6.986011776947905
2013-09-19,2.5,2.42,-2.8,4875521.0,93.134,104.34,2.7,104.81,2.65,6.976236019352332
2013-09-20,2.5,2.41,-2.8,4875521.0,93.134,104.34,2.7,104.81,2.65,6.981024327909582
2013-09-23,2.5,2.37,-2.8,4875521.0,93.134,104.34,2.7,104.81,2.65,6.979052160864171
2013-09-24,2.5,2.32,-3.0,4875521.0,93.134,104.34,2.7,104.81,2.65,6.979471106523738
2013-09-25,2.5,2.27,-2.7,4875521.0,93.134,104.34,2.7,104.81,2.65,6.9813959991335
2013-09-26,2.5,2.32,-2.6,4875521.0,93.134,104.34,2.7,104.81,2.64,6.980261969768885
2013-09-27,2.5,2.3,-1.1,4875521.0,93.134,104.34,2.7,104.81,2.64,6.9794990299948125
2013-09-30,2.5,2.31,6.44,4875521.0,93.134,104.34,2.7,104.81,2.64,6.97852124427546
2013-10-01,2.5,2.33,0.98,4875521.0,93.134,104.34,2.7,104.81,2.64,6.978120541642701
2013-10-02,2.49,2.32,-5.2,4798954.0,93.116,104.13,2.6,103.793,2.64,6.979163896869353
2013-10-03,2.48,2.29,2.58,4798954.0,93.116,104.13,2.6,103.793,2.64,6.979163896869353
2013-10-04,2.48,2.33,2.58,4798954.0,93.116,104.13,2.6,103.793,2.64,6.975413927455952
2013-10-07,2.5,2.28,1.85,4798954.0,93.116,104.13,2.6,103.793,2.64,6.976618808771478
2013-10-08,2.49,2.26,0.07,4798954.0,93.116,104.13,2.6,103.793,2.64,6.979284930121058
2013-10-09,2.49,2.31,0.78,4798954.0,93.116,104.13,2.6,103.793,2.64,6.980522352533018
2013-10-10,2.49,2.36,0.78,4798954.0,93.116,104.13,2.6,103.793,2.64,6.976525459008519
2013-10-11,2.49,2.35,-10.0,4798954.0,93.116,104.13,2.6,103.793,2.64,6.976861477380685
2013-10-14,2.49,2.38,1.94,4798954.0,93.116,104.13,2.6,103.793,2.64,6.970100772190844
2013-10-15,2.49,2.38,-4.7,4798954.0,93.116,104.13,2.6,103.793,2.64,6.970100772190844
2013-10-16,2.49,2.35,8.06,4798954.0,93.116,104.13,2.6,103.793,2.64,6.97166860472579
2013-10-17,2.49,2.28,-4.1,4798954.0,93.116,104.13,2.6,103.793,2.64,6.968266953243766
2013-10-18,2.5,2.27,-4.1,4798954.0,93.116,104.13,2.6,103.793,2.64,6.966043054852644
2013-10-21,2.49,2.3,2.9,4798954.0,93.116,104.13,2.6,103.793,2.64,6.9669011609426885
2013-10-22,2.5,2.23,-0.0,4798954.0,93.116,104.13,2.6,103.793,2.64,6.963662910920433
2013-10-23,2.5,2.2,2.97,4798954.0,93.116,104.13,2.6,103.793,2.64,6.963615628478759
2013-10-24,2.5,2.2,-4.7,4798954.0,93.116,104.13,2.6,103.793,2.64,6.967438281143311
2013-10-25,2.52,2.21,0.15,4798954.0,93.116,104.13,2.6,103.793,2.64,6.968191647785968
2013-10-28,2.52,2.22,0.44,4798954.0,93.116,104.13,2.6,103.793,2.64,6.966684346511425
2013-10-29,2.52,2.22,-1.0,4798954.0,93.116,104.13,2.6,103.793,2.64,6.967833869397615
2013-10-30,2.51,2.22,0.52,4798954.0,93.116,104.13,2.6,103.793,2.64,6.964513612800746
2013-10-31,2.52,2.26,6.35,4798954.0,93.116,104.13,2.6,103.793,2.64,6.9668068995746975
2013-11-01,2.48,2.32,-4.5,4798954.0,93.116,104.13,2.6,103.793,2.64,6.966882309379893
2013-11-04,2.48,2.31,1.96,3630271.0,93.229,104.37,3.0,104.903,2.64,6.968266953243766
2013-11-05,2.51,2.37,-3.5,3630271.0,93.229,104.37,3.0,104.903,2.64,6.966995413426311
2013-11-06,2.49,2.37,0.59,3630271.0,93.229,104.37,3.0,104.903,2.64,6.9658071824302255
2013-11-07,2.5,2.34,-1.0,3630271.0,93.229,104.37,3.0,104.903,2.64,6.968643395492561
2013-11-08,2.5,2.45,1.19,3630271.0,93.229,104.37,3.0,104.903,2.64,6.968022189768786
2013-11-11,2.5,2.46,2.13,3630271.0,93.229,104.37,3.0,104.903,2.64,6.977887501162515
2013-11-12,2.5,2.46,-2.5,3630271.0,93.229,104.37,3.0,104.903,2.64,6.977887501162515
2013-11-13,2.5,2.43,8.78,3630271.0,93.229,104.37,3.0,104.903,2.64,6.975937155034507
2013-11-14,2.5,2.4,-3.5,3630271.0,93.229,104.37,3.0,104.903,2.64,6.973739629404633
2013-11-15,2.5,2.4,-3.0,3630271.0,93.229,104.37,3.0,104.903,2.64,6.968238714361648
2013-11-18,2.5,2.36,1.52,3630271.0,93.229,104.37,3.0,104.903,2.64,6.96114437564104
2013-11-19,2.5,2.42,-1.0,3630271.0,93.229,104.37,3.0,104.903,2.64,6.961163335682753
2013-11-20,2.5,2.52,2.1,3630271.0,93.229,104.37,3.0,104.903,2.64,6.962508580634908
2013-11-21,2.5,2.5,7.22,3630271.0,93.229,104.37,3.0,104.903,2.64,6.9678150354098
2013-11-22,2.5,2.44,-4.8,3630271.0,93.229,104.37,3.0,104.903,2.64,6.966957713498879
2013-11-25,2.5,2.44,0.49,3630271.0,93.229,104.37,3.0,104.903,2.64,6.965410791470299
2013-11-26,2.49,2.42,-0.0,3630271.0,93.229,104.37,3.0,104.903,2.64,6.966090222661567
2013-11-27,2.49,2.46,1.24,3630271.0,93.229,104.37,3.0,104.903,2.64,6.966872883465226
2013-11-28,2.49,2.47,0.27,3630271.0,93.229,104.37,3.0,104.903,2.65,6.963908743585268
2013-11-29,2.5,2.47,-1.8,3630271.0,93.229,104.37,3.0,104.903,2.65,6.963908743585268
2013-12-01,2.49,2.51,1.39,3630271.0,93.229,104.37,3.0,104.903,2.65,6.964135612418245
2013-12-02,2.49,2.51,1.39,813619.0,93.73,104.65,3.4,98.52,2.65,6.964135612418245
2013-12-03,2.49,2.51,0.0,813619.0,93.73,104.65,3.4,98.52,2.65,6.965995884818814
2013-12-04,2.48,2.54,0.0,813619.0,93.73,104.65,3.4,98.52,2.65,6.966985988577697
2013-12-05,2.49,2.58,1.85,813619.0,93.73,104.65,3.4,98.52,2.65,6.9643907783483625
2013-12-06,2.49,2.58,0.27,813619.0,93.73,104.65,3.4,98.52,2.65,6.962243464266207
2013-12-09,2.5,2.56,-0.9,813619.0,93.73,104.65,3.4,98.52,2.65,6.956593061065437
2013-12-10,2.5,2.51,-4.3,813619.0,93.73,104.65,3.4,98.52,2.65,6.958448393297656
2013-12-11,2.49,2.55,1.13,813619.0,93.73,104.65,3.4,98.52,2.65,6.957972995142755
2013-12-12,2.49,2.55,5.73,813619.0,93.73,104.65,3.4,98.52,2.65,6.957259473885226
2013-12-13,2.49,2.54,-1.3,813619.0,93.73,104.65,3.4,98.52,2.65,6.959303540862714
2013-12-16,2.49,2.55,3.28,813619.0,93.73,104.65,3.4,98.52,2.65,6.959018572919678
2013-12-17,2.49,2.51,-3.4,813619.0,93.73,104.65,3.4,98.52,2.65,6.95716429923968
2013-12-18,2.49,2.57,1.34,813619.0,93.73,104.65,3.4,98.52,2.65,6.95821072247063
2013-12-19,2.5,2.59,-6.6,813619.0,93.73,104.65,3.4,98.52,2.65,6.965344711031501
2013-12-20,2.51,2.52,-5.5,813619.0,93.73,104.65,3.4,98.52,2.65,6.967296961690453
2013-12-23,2.52,2.56,-1.1,813619.0,93.73,104.65,3.4,98.52,2.65,6.96640147441487
2013-12-24,2.52,2.61,-3.8,813619.0,93.73,104.65,3.4,98.52,2.65,6.965316389506668
2013-12-25,2.51,2.58,2.14,813619.0,93.73,104.65,3.4,98.52,2.65,6.965174769849623
2013-12-26,2.51,2.58,2.14,813619.0,93.73,104.65,3.4,98.52,2.64,6.965174769849623
2013-12-27,2.5,2.62,-2.4,813619.0,93.73,104.65,3.4,98.52,2.64,6.9600820391599045
2013-12-30,2.51,2.6,1.9,813619.0,93.73,104.65,3.4,98.52,2.64,6.960840966073726
2013-12-31,2.52,2.66,8.96,813619.0,93.73,104.65,3.4,98.52,2.64,6.961532984662608
2014-01-01,2.51,2.61,8.96,813619.0,93.73,104.65,3.4,98.52,2.64,6.95683111662873
2014-01-02,2.51,2.61,8.96,850181.0,93.98,104.78,4.5,93.617,2.64,6.95683111662873
2014-01-03,2.5,2.6,0.86,850181.0,93.98,104.78,4.5,93.617,2.64,6.961296045910167
2014-01-06,2.48,2.58,1.28,850181.0,93.98,104.78,4.5,93.617,2.64,6.970739467770804
2014-01-07,2.5,2.56,-3.0,850181.0,93.98,104.78,4.5,93.617,2.64,6.974011074759202
2014-01-08,2.49,2.58,-1.6,850181.0,93.98,104.78,4.5,93.617,2.64,6.971152524111929
2014-01-09,2.49,2.53,-1.6,850181.0,93.98,104.78,4.5,93.617,2.64,6.968746892272492
2014-01-10,2.5,2.49,2.61,850181.0,93.98,104.78,4.5,93.617,2.64,6.967268695403181
2014-01-13,2.49,2.45,-2.6,850181.0,93.98,104.78,4.5,93.617,2.64,6.962906123446985
2014-01-14,2.49,2.49,-0.7,850181.0,93.98,104.78,4.5,93.617,2.64,6.965486306625283
2014-01-15,2.49,2.49,-1.7,850181.0,93.98,104.78,4.5,93.617,2.64,6.968474014016842
2014-01-16,2.49,2.45,-1.8,850181.0,93.98,104.78,4.5,93.617,2.64,6.968850378341948
2014-01-17,2.49,2.44,2.26,850181.0,93.98,104.78,4.5,93.617,2.64,6.966778619431598
2014-01-20,2.49,2.45,0.23,850181.0,93.98,104.78,4.5,93.617,2.64,6.970777025398293
2014-01-21,2.49,2.45,-1.2,850181.0,93.98,104.78,4.5,93.617,2.64,6.970777025398293
2014-01-22,2.5,2.43,-0.5,850181.0,93.98,104.78,4.5,93.617,2.64,6.972887373919919
2014-01-23,2.5,2.4,2.48,850181.0,93.98,104.78,4.5,93.617,2.64,6.978306934933082
2014-01-24,2.5,2.38,0.53,850181.0,93.98,104.78,4.5,93.617,2.64,6.984808908424428
2014-01-27,2.52,2.41,13.3,850181.0,93.98,104.78,4.5,93.617,2.64,6.98813639092895
2014-01-28,2.52,2.39,-1.1,850181.0,93.98,104.78,4.5,93.617,2.64,6.983919706609665
2014-01-29,2.51,2.33,-3.0,850181.0,93.98,104.78,4.5,93.617,2.64,6.97522699409715
2014-01-30,2.47,2.36,10.0,850181.0,93.98,104.78,4.5,93.617,2.61,6.98481816678357
2014-01-31,2.47,2.33,10.0,850181.0,93.98,104.78,4.5,93.617,2.61,6.985049597908386
2014-02-01,2.47,2.31,10.0,850181.0,93.98,104.78,4.5,93.617,2.61,6.988643782715475
2014-02-03,2.47,2.31,10.0,3505717.0,94.153,104.74,3.9,104.533,2.61,6.988643782715475
2014-02-04,2.48,2.33,11.2,3505717.0,94.153,104.74,3.9,104.533,2.61,6.98813639092895
2014-02-05,2.48,2.38,-3.1,3505717.0,94.153,104.74,3.9,104.533,2.61,6.982491625096154
2014-02-06,2.49,2.4,-3.4,3505717.0,94.153,104.74,3.9,104.533,2.61,6.983604591265575
2014-02-07,2.49,2.41,-6.8,3505717.0,94.153,104.74,3.9,104.533,2.61,6.978986975761737
2014-02-10,2.49,2.38,-0.6,3505717.0,94.153,104.74,3.9,104.533,2.61,6.9775611532261
2014-02-11,2.49,2.4,-3.3,3505717.0,94.153,104.74,3.9,104.533,2.61,6.976161311646197
2014-02-12,2.49,2.45,-2.1,3505717.0,94.153,104.74,3.9,104.533,2.61,6.968041019855499
2014-02-13,2.49,2.41,3.67,3505717.0,94.153,104.74,3.9,104.533,2.61,6.9718562043886605
2014-02-14,2.49,2.43,-5.6,3505717.0,94.153,104.74,3.9,104.533,2.61,6.968756300539536
2014-02-17,2.49,2.4,0.92,3505717.0,94.153,104.74,3.9,104.533,2.61,6.971236991894559
2014-02-18,2.49,2.4,0.14,3505717.0,94.153,104.74,3.9,104.533,2.61,6.971236991894559
2014-02-19,2.49,2.4,1.75,3505717.0,94.153,104.74,3.9,104.533,2.61,6.9709647923800215
2014-02-20,2.49,2.42,1.44,3505717.0,94.153,104.74,3.9,104.533,2.61,6.977281341630747
2014-02-21,2.49,2.4,-4.1,3505717.0,94.153,104.74,3.9,104.533,2.61,6.97742125721524
2014-02-24,2.49,2.4,1.56,3505717.0,94.153,104.74,3.9,104.533,2.61,6.97914527506881
2014-02-25,2.49,2.36,-5.1,3505717.0,94.153,104.74,3.9,104.533,2.61,6.978008688989812
